--------------------------------------------------------------------------------------------------------
|                                     DescribeLaunchConfigurations                                     |
+-------------------------------------------------------------+------------------------+---------------+
|  ctp-latest-config-20181105181745520                        |  ami-00e0ff79015b5cd12 |  m4.xlarge    |
|  cur-svc-hk-latest-config-20230601170646963                 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-2023102609474652                  |  ami-0a9175261a64f7733 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20231031073749959                 |  ami-0a9175261a64f7733 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20231126050615153                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20231127044512958                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20231127115520386                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20231127153206861                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-2023122816060576                  |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20231228214830708                 |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20240102072755103                 |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20240118143850169                 |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20240209070605388                 |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20240229155055383                 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20240322073605362                 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20240326                          |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  cur-svc-hk-latest-config-20240411112105132                 |  ami-0513c4128467ec027 |  m6i.4xlarge  |
|  cur-svc-hk-prod-config-20230816080617171                   |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  cur-svc-hk-prod-config-20230816080617171-02282024Backup    |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  cur-svc-hk-prod-config-20230816080617171-backup03152024    |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20230608072756806                  |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20231129072131264                  |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20231129115733693                  |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-2024010407264412                   |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20240125072104473                  |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20240215085909383                  |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20240307070619477                  |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20240328071619395                  |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  cur-svc-hk-stage-config-20240412                           |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20230718070706640                   |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20231127114439183                   |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20231127154538646                   |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-202401020716596                     |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20240123072749229                   |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20240213072259181                   |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20240305073824100                   |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20240326073644120                   |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20240402                            |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  gt-ps-hk-latest-config-20240406                            |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  gt-ps-hk-prod-config-20240403080945497                     |  ami-0d4b18ebb8e22b004 |  t2.large     |
|  gt-ps-hk-stage-config-20230720070716588                    |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20231129071035951                    |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20231129120426797                    |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20240104071923854                    |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20240125073104215                    |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20240215085224212                    |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20240307070244208                    |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20240328073158910                    |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  gt-ps-hk-stage-config-20240412                             |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hk-ent-latest-config-20230718073608206                     |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  hk-ent-latest-config-20230718073608206-20240214Backup      |  ami-0a9175261a64f7733 |  m6i.4xlarge  |
|  hk-ent-latest-config-20240402                              |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  hk-ent-latest-config-20240408064155129                     |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
